year,country,cheese,yoghurt,total_milk,fruits,refined_grains,whole_grains,nuts_and_seeds,total_processed_meats,unprocessed_red_meats,fish,shellfish,eggs,total_salt,added_sugars,non-starchy_vegetables,potatoes,other_starchy_vegetables,beans_and_legumes,total_ug_per_kg
1990,Angola,0.191780822,54.8997394,96.60273973,76.52054795,481.2971487,44.30983762,2.849315068,22.77010927,21.61345237,53.01369863,0.164383562,1.04109589,8.005258976,32.54794521,80.16438356,8.109589041,39.34246575,19.83561644,1043.279107989
1990,Benin,0.054794521,9.365946375,18.4109589,90.87671233,534.2569649,48.83632281,19.56164384,17.01826377,14.48858555,18.79452055,3.97260274,2.849315068,5.854497115,8.246575342,122.9863014,0.0,304.9041096,21.17808219,1241.6561970009998
1990,Burkina Faso,0.273972603,35.39061793,56.02739726,19.17808219,213.1701829,129.4161185,28.46575342,9.541328705,33.93812335,4.684931507,0.0,6.767123288,6.928377709,9.534246575,64.76712329,2.219178082,13.78082192,32.52054795,666.6039271789999
1990,Central African Republic,0.0,19.20647789,48.0,113.3972603,285.0353746,302.567776,23.50684932,26.41209392,53.28653621,13.91780822,0.0,1.123287671,6.585070688,19.69863014,101.7534247,0.575342466,209.4520548,12.82191781,1237.339904735
1990,Cote D'Ivoire,0.301369863,2.220447126,38.10958904,37.01369863,436.9075978,25.22034741,16.90410959,2.459102583,56.88336317,51.42465753,0.493150685,2.438356164,9.660914893,28.43835616,151.1506849,1.945205479,676.5753425,2.356164384,1540.5024579070002
1990,Cameroon,0.246575342,339.9171194,48.98630137,301.5616438,300.3198215,121.354836,21.42465753,14.74984444,31.00358022,31.06849315,0.0,2.191780822,6.698644632,18.08219178,203.1506849,2.575342466,170.0547945,13.50684932,1626.893161172
1990,Congo,0.383561644,7.625267125,8.109589041,76.93150685,873.122152,80.65757404,20.46575342,3.992025017,33.29564622,91.01369863,0.191780822,0.931506849,5.265922176,26.49315068,121.9178082,2.246575342,93.06849315,6.739726027,1452.4517372330001
1990,Djibouti,0.684931507,12.04888267,126.4657534,22.30136986,160.1224984,57.95777555,0.684931507,7.070138548,35.4504094,2.191780822,0.246575342,2.02739726,5.72992913,83.42465753,168.739726,11.69863014,0.0,12.46575342,709.3111404860001
1990,Algeria,5.479452055,5.998228855,276.1369863,91.31506849,375.1596969,184.4730428,1.315068493,17.79699314,34.1756096,9.287671233,0.328767123,13.31506849,7.047761194,79.23287671,165.5068493,78.76712329,0.0,13.67123288,1359.007496853
1990,Egypt,6.301369863,22.19903605,103.0410959,264.9315068,402.9272544,197.9501429,3.205479452,14.94313679,34.67330156,23.04109589,0.273972603,5.808219178,6.695777017,86.60273973,407.1232877,58.21917808,4.164383562,21.15068493,1663.2516624049995
1990,Ethiopia,0.493150685,51.77104215,53.06849315,10.24657534,243.2165271,4.809089361,9.287671233,1.475861618,34.63372742,0.246575342,0.0,3.452054795,9.82332854,9.342465753,144.7671233,16.02739726,18.16438356,31.56164384,642.3871104470002
1990,Gabon,1.095890411,4.537590793,54.05479452,70.43835616,415.5087897,35.30203223,27.97260274,57.28288,80.49794192,86.08219178,1.205479452,4.219178082,2.721979749,52.24657534,213.0410959,4.219178082,524.3013699,0.575342466,1635.3032692250001
1990,Ghana,0.136986301,21.51219533,9.479452055,60.90410959,424.7906269,52.01498953,8.164383562,5.511956451,26.21407095,72.57534247,0.931506849,1.479452055,5.658894086,16.10958904,195.4246575,0.109589041,301.369863,2.246575342,1204.634240052
1990,Guinea,0.082191781,10.54863692,27.97260274,102.739726,346.6769825,81.48794897,4.794520548,8.485406008,6.583087143,25.45205479,0.0,3.01369863,6.149603872,24.65753425,291.8356164,0.520547945,225.7808219,21.80821918,1188.589199577
1990,The Gambia,0.520547945,39.45266274,37.75342466,8.95890411,268.10345,26.72682395,20.38356164,6.781202636,18.42427682,44.95890411,13.42465753,2.109589041,5.771720342,127.7808219,86.10958904,3.890410959,0.0,9.01369863,720.1642460529999
1990,Guinea-Bissau,0.054794521,10.66698633,56.38356164,77.45205479,139.7821348,88.07074192,15.5890411,15.11199158,28.77841938,9.04109589,1.808219178,1.068493151,6.857656937,5.616438356,174.5479452,0.794520548,68.95890411,5.506849315,706.089848746
1990,Kenya,0.493150685,39.08392558,294.2739726,153.0958904,361.6301817,14.83995529,2.054794521,16.00302349,29.4490313,20.4109589,0.082191781,4.164383562,5.256855955,58.08219178,74.16438356,73.78082192,28.98630137,33.83561644,1209.687630834
1990,Lesotho,0.0,60.7251013,48.60273973,60.10958904,371.9137498,149.508031,0.02739726,25.49651874,32.14731688,0.054794521,0.0,1.342465753,6.50950064,46.84931507,76.84931507,80.73972603,0.0,25.12328767,985.9988485040001
1990,Morocco,3.917808219,34.60324023,92.21917808,141.6986301,283.8466566,422.5962202,6.082191781,3.830143376,54.33424019,20.46575342,0.493150685,16.60273973,4.570892264,85.31506849,291.260274,72.68493151,2.410958904,31.09589041,1568.0279681890001
1990,Madagascar,0.136986301,41.17433196,112.5205479,185.4520548,518.624814,38.08861061,1.643835616,17.11066098,52.31399656,21.78082192,0.95890411,2.493150685,5.243019005,22.16438356,85.53424658,41.67123288,43.8630137,8.712328767,1199.486939934
1990,Mali,0.246575342,8.677718755,162.4931507,53.39726027,247.6136902,70.08685773,8.0,20.30411343,45.69588657,25.01369863,0.0,2.493150685,7.416563874,25.31506849,161.4520548,9.506849315,7.863013699,15.94520548,871.5208579700002
1990,Mozambique,0.082191781,54.0894245,18.76712329,71.06849315,441.5522102,410.1175158,7.342465753,5.396930918,9.781151274,7.205479452,0.95890411,0.054794521,9.270166748,9.863013699,37.8630137,12.1369863,10.19178082,19.04109589,1124.7827419060002
